# File: A222.stubtech_coef.csv
# Title: USA refining technology coefficients
# Units: unitless in/out
# Column types: cccccnnnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
USA,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,regional corn,113.9513761,113.1374377,111.0513361,109.0036993,106.9938183,105.0209967,103.4894098,103.4894098
USA,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,regional oilcrop oil,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99
USA,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,wholesale gas,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123
USA,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,elect_td_ind,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
USA,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,regional rapeseed oil,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99
USA,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,wholesale gas,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123
USA,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,elect_td_ind,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
USA,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,regional soybean oil,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99
USA,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,wholesale gas,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123
USA,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,elect_td_ind,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol,regional biomass,3.065,3.065,2.945,2.83,2.72,2.613,2.511,2.511
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol (no constraint),regional biomass,3.065,3.065,2.945,2.83,2.72,2.613,2.511,2.511
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol CCS level 1,regional biomass,3.3715,3.3715,3.3715,3.3715,3.3715,3.3715,3.3715,3.3715
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol CCS level 2,regional biomass,3.678,3.678,3.678,3.678,3.678,3.678,3.678,3.678
USA,refining,biomass liquids,FT biofuels,regional biomass,1.84,1.84,1.751,1.666,1.585,1.508,1.435,1.435
USA,refining,biomass liquids,FT biofuels CCS level 1,regional biomass,2.039,2.039,2.039,2.039,2.039,2.039,2.039,1.809
USA,refining,biomass liquids,FT biofuels CCS level 2,regional biomass,2.157,2.157,2.157,2.157,2.157,2.157,2.157,1.913
USA,corn ethanol,corn ethanol,corn ethanol,regional corn for ethanol,1,1,1,1,1,1,1,1
USA,corn ethanol,corn ethanol,corn ethanol,wholesale gas,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318
USA,corn ethanol,corn ethanol,corn ethanol,elect_td_ind,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
USA,corn ethanol,corn ethanol,corn ethanol (no constraint),regional corn for ethanol,1,1,1,1,1,1,1,1
USA,corn ethanol,corn ethanol,corn ethanol (no constraint),wholesale gas,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318
USA,corn ethanol,corn ethanol,corn ethanol (no constraint),elect_td_ind,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol,Blend Wall Credit,1,1,1,1,1,1,1,1
USA,corn ethanol,corn ethanol,corn ethanol,Blend Wall Credit,1,1,1,1,1,1,1,1
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol (residue bio),total biomass,3.065,3.065,2.945,2.83,2.72,2.613,2.511,2.511
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol (residue bio),Blend Wall Credit,1,1,1,1,1,1,1,1
USA,soybean biodiesel,soybean biodiesel,soybean biodiesel,regional biomassOil soybean,1.026,1.012,1.008,1.003,0.999,0.994,0.989,0.989
USA,soybean biodiesel,soybean biodiesel,soybean biodiesel,wholesale gas,0.05767,0.05767,0.05767,0.05767,0.05767,0.05767,0.05767,0.05767
USA,soybean biodiesel,soybean biodiesel,soybean biodiesel,elect_td_ind,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
USA,landfills,landfill captured,landfill captured,captured methane, 0.00000503 , 0.00000503 , 0.00000503 , 0.00000503 , 0.00000503 , 0.00000503 , 0.00000503 , 0.00000503 
Africa_Eastern,landfills,landfill captured,landfill captured,captured methane, 0.00007149 , 0.00007149 , 0.00007149 , 0.00007149 , 0.00007149 , 0.00007149 , 0.00007149 , 0.00007149 
Africa_Northern,landfills,landfill captured,landfill captured,captured methane, 0.00002381 , 0.00002381 , 0.00002381 , 0.00002381 , 0.00002381 , 0.00002381 , 0.00002381 , 0.00002381 
Africa_Southern,landfills,landfill captured,landfill captured,captured methane, 0.00000576 , 0.00000576 , 0.00000576 , 0.00000576 , 0.00000576 , 0.00000576 , 0.00000576 , 0.00000576 
Africa_Western,landfills,landfill captured,landfill captured,captured methane, 0.00001830 , 0.00001830 , 0.00001830 , 0.00001830 , 0.00001830 , 0.00001830 , 0.00001830 , 0.00001830 
