# File: A262.refinedLiquidsRegionalSector.csv
# Title: Supplysector assumptions for regional refined oil markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete domestic production and imports from the globally traded markets
# Source: NA
# Column types: ccccnc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
regional refined oil,EJ,EJ,1975$/GJ,-3,
regional corn ethanol,EJ,EJ,1975$/GJ,-3,
regional sugar cane ethanol,EJ,EJ,1975$/GJ,-3,
regional oilcrop biodiesel,EJ,EJ,1975$/GJ,-3,
regional palmfruit biodiesel,EJ,EJ,1975$/GJ,-3,
regional rapeseed biodiesel,EJ,EJ,1975$/GJ,-3,
regional soybean biodiesel,EJ,EJ,1975$/GJ,-3,
regional soybean HEFA renewable diesel,EJ,EJ,1975$/GJ,-3,
regional rapeseed HEFA renewable diesel,EJ,EJ,1975$/GJ,-3,
regional palmfruit HEFA renewable diesel,EJ,EJ,1975$/GJ,-3,
regional oilcrop HEFA renewable diesel,EJ,EJ,1975$/GJ,-3,
regional soybean HEFA jet fuel,EJ,EJ,1975$/GJ,-3,
regional rapeseed HEFA jet fuel,EJ,EJ,1975$/GJ,-3,
regional palmfruit HEFA jet fuel,EJ,EJ,1975$/GJ,-3,
regional oilcrop HEFA jet fuel,EJ,EJ,1975$/GJ,-3,
regional refined jet,EJ,EJ,1975$/GJ,-3,
regional corn ethanol renewable diesel,EJ,EJ,1975$/GJ,-3,
regional corn ETJ jet fuel,EJ,EJ,1975$/GJ,-3,
